,As At Month,Visa Type,Occupation,Points,Count EOIs,Nominated State,Probabilitas_Lodged
1591508,2026-01-01,491SNR State or Territory Nominated - Regional,233211 Civil Engineer,80,10,QLD,0.9997637
1400095,2025-11-01,491SNR State or Territory Nominated - Regional,233512 Mechanical Engineer,85,10,QLD,0.99969697
1512410,2025-12-01,491SNR State or Territory Nominated - Regional,351311 Chef,85,10,SA,0.99965024
1429455,2025-11-01,190SAS Skilled Australian Sponsored,241111 Early Childhood (Pre-primary School) Teacher,75,10,VIC,0.99960905
1726413,2026-02-01,491SNR State or Territory Nominated - Regional,233311 Electrical Engineer,85,10,VIC,0.9996049
1437775,2025-11-01,491SNR State or Territory Nominated - Regional,261313 Software Engineer,85,10,VIC,0.99951154
1621246,2026-01-01,190SAS Skilled Australian Sponsored,233914 Engineering Technologist,80,10,VIC,0.99947906
1405469,2025-11-01,190SAS Skilled Australian Sponsored,225113 Marketing Specialist,80,10,SA,0.99947584
1407933,2025-11-01,190SAS Skilled Australian Sponsored,261111 ICT Business Analyst,85,10,SA,0.9994745
1637964,2026-01-01,190SAS Skilled Australian Sponsored,312211 Civil Engineering Draftsperson,80,51,WA,0.9994516
1721206,2026-02-01,190SAS Skilled Australian Sponsored,254499 Registered Nurses nec,70,10,VIC,0.9994122
1434414,2025-11-01,491SNR State or Territory Nominated - Regional,221111 Accountant (General),90,23,VIC,0.99936885
1431103,2025-11-01,190SAS Skilled Australian Sponsored,262112 ICT Security Specialist,80,10,VIC,0.9992926
1439168,2025-11-01,491SNR State or Territory Nominated - Regional,321211 Motor Mechanic (General),80,10,VIC,0.99925697
1445879,2025-11-01,190SAS Skilled Australian Sponsored,331212 Carpenter,70,53,WA,0.99924505
1476145,2025-12-01,491SNR State or Territory Nominated - Regional,261112 Systems Analyst,85,10,NSW,0.9992266
1623364,2026-01-01,190SAS Skilled Australian Sponsored,261312 Developer Programmer,75,10,VIC,0.9992058
1526826,2025-12-01,190SAS Skilled Australian Sponsored,261399 Software and Applications Programmers nec,85,10,VIC,0.9991456
1426347,2025-11-01,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,80,10,VIC,0.99904346
1718433,2026-02-01,190SAS Skilled Australian Sponsored,232111 Architect,80,10,VIC,0.99898213
1721711,2026-02-01,190SAS Skilled Australian Sponsored,263111 Computer Network and Systems Engineer,80,10,VIC,0.9989615
1549589,2025-12-01,491SNR State or Territory Nominated - Regional,411411 Enrolled Nurse,80,10,WA,0.998948
1521983,2025-12-01,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,75,10,VIC,0.998914
1721395,2026-02-01,190SAS Skilled Australian Sponsored,261311 Analyst Programmer,95,10,VIC,0.998905
1473995,2025-12-01,491SNR State or Territory Nominated - Regional,233111 Chemical Engineer,80,10,NSW,0.9989008
1536711,2025-12-01,190SAS Skilled Australian Sponsored,141111 Cafe or Restaurant Manager,85,21,WA,0.9988869
1720042,2026-02-01,190SAS Skilled Australian Sponsored,241411 Secondary School Teacher,75,56,VIC,0.9988748
1549384,2025-12-01,491SNR State or Territory Nominated - Regional,351411 Cook,90,52,WA,0.99886036
1409104,2025-11-01,190SAS Skilled Australian Sponsored,312212 Civil Engineering Technician,80,10,SA,0.99880904
1429868,2025-11-01,190SAS Skilled Australian Sponsored,251511 Hospital Pharmacist,75,10,VIC,0.9986929
1430515,2025-11-01,190SAS Skilled Australian Sponsored,254418 Registered Nurse (Medical),70,10,VIC,0.9986892
1442167,2025-11-01,190SAS Skilled Australian Sponsored,233411 Electronics Engineer,85,10,WA,0.9986798
1427217,2025-11-01,190SAS Skilled Australian Sponsored,221213 External Auditor,85,10,VIC,0.99867404
1542524,2025-12-01,190SAS Skilled Australian Sponsored,411711 Community Worker,80,36,WA,0.9985924
1427374,2025-11-01,190SAS Skilled Australian Sponsored,222311 Financial Investment Adviser,85,10,VIC,0.9985695
1622921,2026-01-01,190SAS Skilled Australian Sponsored,254415 Registered Nurse (Critical Care and Emergency),70,10,VIC,0.99852675
1684008,2026-02-01,190SAS Skilled Australian Sponsored,242111 University Lecturer,80,10,QLD,0.99848986
1406129,2025-11-01,190SAS Skilled Australian Sponsored,233511 Industrial Engineer,75,10,SA,0.9984783
1445017,2025-11-01,190SAS Skilled Australian Sponsored,272613 Welfare Worker,70,10,WA,0.99837697
1732968,2026-02-01,190SAS Skilled Australian Sponsored,233213 Quantity Surveyor,80,10,WA,0.99827546
1736189,2026-02-01,190SAS Skilled Australian Sponsored,312111 Architectural Draftsperson,85,10,WA,0.9982551
1596933,2026-01-01,190SAS Skilled Australian Sponsored,223112 Recruitment Consultant,80,10,SA,0.9981567
1499350,2025-12-01,190SAS Skilled Australian Sponsored,132211 Finance Manager,75,10,SA,0.9981311
